Timestamp,gender,age-group,district,city,marital-status,education,employment-status,field of work,income,banking-app-user,frequency,purposes,banking-app,application-interface,Security,Time saving,availability-of-services
2020/10/31 6:25:21 PM GMT+5:30,Male,26 - 35,Kalutara,Panadura ,Single,Bachelor's degree or equivalent,Yes,Communications,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Manage savings accounts,BApp – Bank of Ceylon;Flash - Commercial Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 6:49:24 PM GMT+5:30,Female,18 - 25,Colombo,Boralesgamuwa,Single,Bachelor's degree or equivalent,Yes,Education,"Less than 50,000",No,,,,,,,
2020/10/31 6:52:44 PM GMT+5:30,Female,18 - 25,Matara,Matra,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage fixed deposits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 8:41:06 PM GMT+5:30,Male,26 - 35,Kalutara,Wadduwa,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,Combank Digital – Commercial Bank,Unsatisfied,Satisfied,Neutral,Neutral
2020/10/31 8:50:09 PM GMT+5:30,Female,26 - 35,Colombo,Nugegoda ,Single,Bachelor's degree or equivalent,No,,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,People’s Wave – People’s Bank,Satisfied,Very Satisfied,Satisfied,Satisfied
2020/10/31 9:04:46 PM GMT+5:30,Female,18 - 25,Badulla,Badulla,Single,Bachelor's degree or equivalent,Yes,Communications,"Less than 50,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 9:09:33 PM GMT+5:30,Male,26 - 35,Kalutara,,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied,Satisfied
2020/10/31 9:15:30 PM GMT+5:30,Male,18 - 25,Colombo,,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,1 - 10 times per month,To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,Frimi - Nations Trust Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 9:16:24 PM GMT+5:30,Female,18 - 25,Gampaha,Ja Ela,Single,Advanced Level  or equivalent,No,,,No,,,,,,,
2020/10/31 9:17:10 PM GMT+5:30,Male,Above 55,Gampaha,,Married,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",No,,,,,,,
2020/10/31 9:17:18 PM GMT+5:30,Female,26 - 35,Badulla,Bandarawela ,Married,Advanced Level  or equivalent,Yes,Government,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 9:18:10 PM GMT+5:30,Female,Above 55,Gampaha,,Married,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",No,,,,,,,
2020/10/31 9:19:24 PM GMT+5:30,Female,18 - 25,Colombo,Malabe,Single,Bachelor's degree or equivalent,No,,,No,,,,,,,
2020/10/31 9:20:06 PM GMT+5:30,Female,36 - 55,Colombo,Colombo ,Married,Bachelor's degree or equivalent,Yes,Health and medicine,"151,000 - 200,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 9:31:01 PM GMT+5:30,Female,26 - 35,Gampaha,Yakkala,Married,Bachelor's degree or equivalent,Yes,Law and public policy,"50,000 - 100,000",Yes,Less than 5 times per week,To check balance and transaction history,BOC Smart Pay - Bank of Ceylon,Satisfied,Satisfied,Satisfied,Neutral
2020/10/31 9:33:46 PM GMT+5:30,Male,26 - 35,Colombo,Colombo 10,Single,Bachelor's degree or equivalent,Yes,Science and technology,"151,000 - 200,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Combank Digital – Commercial Bank,Unsatisfied,Neutral,Neutral,Neutral
2020/10/31 9:38:58 PM GMT+5:30,Female,26 - 35,Monaragala,Bibile ,Married,Bachelor's degree or equivalent,No,,,No,,,,,,,
2020/10/31 9:39:10 PM GMT+5:30,Male,26 - 35,Kandy,Katugasthota,Married,Advanced Level  or equivalent,Yes,"Installation, repair, and maintenance","Less than 50,000",No,,,,,,,
2020/10/31 9:41:53 PM GMT+5:30,Male,26 - 35,Kandy,Kandy,Married,Advanced Level  or equivalent,Yes,Banking,"50,000 - 100,000",Yes,1-2 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank;Almost All allowed features.,BApp – Bank of Ceylon;Combank Digital – Commercial Bank;Flash - Commercial Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 9:56:28 PM GMT+5:30,Male,26 - 35,Galle,Galle,Single,Bachelor's degree or equivalent,Yes,"Installation, repair, and maintenance","50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon,Satisfied,Satisfied,Satisfied,Satisfied
2020/10/31 10:09:39 PM GMT+5:30,Female,26 - 35,Colombo,Boralesgamuwa ,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"Less than 50,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 10:13:04 PM GMT+5:30,Female,18 - 25,Badulla,Bandarawela ,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,,No,,,,,,,
2020/10/31 10:15:23 PM GMT+5:30,Female,26 - 35,Kandy,Kandy,Single,Bachelor's degree or equivalent,Yes,Education,"Less than 50,000",Yes,Less than 5 times per week,To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 10:40:17 PM GMT+5:30,Male,36 - 55,Colombo,,Married,Bachelor's degree or equivalent,Yes,"Business, management and administration","101,000 - 150,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Combank Digital – Commercial Bank;Amana Bank app,Satisfied,Satisfied,Satisfied,Satisfied
2020/10/31 10:45:47 PM GMT+5:30,Female,18 - 25,Badulla,diyathalawa,Single,Bachelor's degree or equivalent,No,,,Yes,1 - 10 times per month,To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Combank Digital – Commercial Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/10/31 10:54:42 PM GMT+5:30,Female,26 - 35,Matara,Matara,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Neutral,Neutral,Neutral
2020/10/31 11:08:18 PM GMT+5:30,Female,18 - 25,Matara,Matra,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage fixed deposits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 11:21:17 PM GMT+5:30,Female,18 - 25,Gampaha,Jaela,Single,Bachelor's degree or equivalent,No,Health and medicine,,No,,,,,,,
2020/10/31 11:48:56 PM GMT+5:30,Male,26 - 35,Kalutara,Paiyagala South,Single,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To check balance and transaction history,Sampath Bank Mobile App - Sampath Bank,Satisfied,Unsatisfied,Satisfied,Satisfied
2020/10/31 11:56:16 PM GMT+5:30,Male,26 - 35,Colombo,Maharagama,Married,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts;Top up mobile credits;Communicate with bank,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank;Flash - Commercial Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/11/01 1:02:47 AM GMT+5:30,Male,18 - 25,Colombo,Kaduwela,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank,BApp – Bank of Ceylon;Combank Digital – Commercial Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/11/01 6:43:18 AM GMT+5:30,Female,26 - 35,Ratnapura,Balangoda,Single,Bachelor's degree or equivalent,Yes,Science and technology,"Less than 50,000",No,,,,,,,
2020/11/01 8:30:19 AM GMT+5:30,Male,26 - 35,Gampaha,Wattala,Married,Bachelor's degree or equivalent,Yes,Sales,"50,000 - 100,000",No,,,,,,,
2020/11/01 9:17:23 AM GMT+5:30,Female,26 - 35,Colombo,Kotte,Single,Bachelor's degree or equivalent,No,,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Combank Digital – Commercial Bank,Satisfied,Satisfied,Satisfied,Satisfied
2020/11/01 10:04:04 AM GMT+5:30,Female,18 - 25,Monaragala,Kataragama ,Single,Bachelor's degree or equivalent,No,,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,BApp – Bank of Ceylon,Satisfied,Satisfied,Satisfied,Neutral
2020/11/01 10:56:10 AM GMT+5:30,Female,26 - 35,Kalutara,Bandaragama ,Single,Bachelor's degree or equivalent,Yes,Supply chain ,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Satisfied,Satisfied
2020/11/01 12:13:03 PM GMT+5:30,Male,26 - 35,Colombo,thalawathugoda,Married,Bachelor's degree or equivalent,Yes,,"101,000 - 150,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/11/01 12:34:14 PM GMT+5:30,Male,26 - 35,Colombo,Rajagiriya,Single,MSc,Yes,Information Technology,"Above 200,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Manage fixed deposits;Communicate with bank,SC Mobile Sri Lanka – Standard Chartered;Nations Mobile Banking – Nations Trust Bank;HSBC,Very Unsatisfied,Neutral,Neutral,Unsatisfied
2020/11/01 12:42:06 PM GMT+5:30,Female,18 - 25,Monaragala,Bibile,Single,Bachelor's degree or equivalent,No,,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;People’s Wave – People’s Bank,Neutral,Neutral,Satisfied,Satisfied
2020/11/01 1:00:05 PM GMT+5:30,Female,26 - 35,Matara,,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,People’s Wave – People’s Bank,Neutral,Satisfied,Satisfied,Satisfied
2020/11/01 1:59:02 PM GMT+5:30,Female,26 - 35,Matara,Matara,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Neutral,Neutral,Neutral
2020/11/01 2:55:13 PM GMT+5:30,Female,26 - 35,Nuwara Eliya,Nawalapitiya,Single,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;People’s Wave – People’s Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Satisfied,Satisfied
2020/11/01 3:19:15 PM GMT+5:30,Male,26 - 35,Colombo,Hanwella,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,Less than 5 times per week,To check balance and transaction history;Manage savings accounts;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/11/01 3:51:46 PM GMT+5:30,Female,26 - 35,Matara,Hakmana ,Single,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,People’s Wave – People’s Bank,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/11/01 4:40:02 PM GMT+5:30,Female,36 - 55,Badulla,Diyathalawa,Married,Ordinary Level  or equivalent,No,,"Less than 50,000",Yes,1 - 10 times per month,To pay bills / reloads / standing orders,HNB Mobile Banking - Hatton National Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/11/01 5:05:17 PM GMT+5:30,Female,26 - 35,Hambantota,Walasmulla,Single,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/11/01 5:13:20 PM GMT+5:30,Female,18 - 25,Matara,Kamburupitiya,Single,Diploma  or equivalent,No,,,No,,,,,,,
2020/11/01 5:18:21 PM GMT+5:30,Male,18 - 25,Galle,Galle,Single,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,People’s Wave – People’s Bank;Combank Digital – Commercial Bank;Flash - Commercial Bank;HNB Mobile Banking - Hatton National Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/11/01 5:20:22 PM GMT+5:30,Female,18 - 25,Gampaha,Gampaha,Single,Bachelor's degree or equivalent,No,,"Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BOC Smart Pay - Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Neutral,Neutral,Neutral,Neutral
2020/11/01 5:32:49 PM GMT+5:30,Female,18 - 25,Colombo,Piliyandala ,Single,Diploma  or equivalent,No,Architecture and engineering,"Less than 50,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To check balance and transaction history,Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/11/01 7:12:39 PM GMT+5:30,Female,26 - 35,Matara,Matara,Married,Bachelor's degree or equivalent,Yes,"Business, management and administration","50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To check balance and transaction history,BApp – Bank of Ceylon,Unsatisfied,Satisfied,Satisfied,Satisfied
2020/11/01 9:37:04 PM GMT+5:30,Male,26 - 35,Matara,Matara,Married,Bachelor's degree or equivalent,Yes,"Business, management and administration","50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Top up mobile credits,BApp – Bank of Ceylon;Nations Mobile Banking – Nations Trust Bank;NDB Neos,Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/11/02 12:59:18 AM GMT+5:30,Male,26 - 35,Colombo,Nugegoda,Married,MBA,Yes,Science and technology,"Above 200,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank;Flash - Commercial Bank;Nations Mobile Banking – Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/11/02 9:08:53 AM GMT+5:30,Male,36 - 55,Gampaha,RADDOLUGAMA,Married,MSc in IT,Yes,Finance and Insurance MIS,"151,000 - 200,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank,Sampath Bank Mobile App - Sampath Bank,Satisfied,Satisfied,Satisfied,Satisfied
2020/11/02 9:32:30 AM GMT+5:30,Male,26 - 35,Monaragala,Badalkumbura,Single,Bachelor's degree or equivalent,Yes,Science and technology,"Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts,BApp – Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Satisfied,Satisfied,Satisfied,Satisfied
2020/11/02 10:56:34 AM GMT+5:30,Male,26 - 35,Colombo,Kesbewa,Married,Bachelor's degree or equivalent,Yes,Science and technology,"Above 200,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Communicate with bank,Combank Digital – Commercial Bank;HNB Digital Banking - Hatton National Bank,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
2020/11/02 1:58:47 PM GMT+5:30,Male,Above 55,Colombo,Kottawa,Married,Advanced Level  or equivalent,No,Administration ,"Less than 50,000",No,,,,,,,
2020/11/02 5:24:24 PM GMT+5:30,Male,36 - 55,Badulla,haldumulla,Married,Ordinary Level  or equivalent,Yes,"Installation, repair, and maintenance","151,000 - 200,000",Yes,Less than once a month,To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied
2020/11/02 6:03:39 PM GMT+5:30,Female,26 - 35,Colombo,Kirulapone ,Married,Master degree,Yes,Science and technology,"Above 200,000",Yes,Less than once a month,To pay bills / reloads / standing orders;To check balance and transaction history,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Neutral,Satisfied,Neutral,Satisfied
2020/11/04 12:48:26 PM GMT+5:30,Female,26 - 35,Gampaha,Veyangoda ,Single,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits,Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied,Satisfied
2020/11/04 11:37:30 PM GMT+5:30,Female,18 - 25,Kandy,Gelioya,Single,Bachelor's degree or equivalent,No,,,No,,,,,,,
